C:/Users/Bowers/Documents/minecraft-worlds/mc-server/internalStorage/Dedicated_Server.txt
[2020-06-12 09:01:42 INFO] Running AutoCompaction...
[2020-06-12 09:07:42 INFO] Running AutoCompaction...
[2020-06-12 09:13:42 INFO] Running AutoCompaction...
[2020-06-12 09:19:42 INFO] Running AutoCompaction...
[2020-06-12 09:25:42 INFO] Running AutoCompaction...
[2020-06-12 09:31:43 INFO] Running AutoCompaction...
[2020-06-12 09:37:43 INFO] Running AutoCompaction...
[2020-06-12 09:43:43 INFO] Running AutoCompaction...
[2020-06-12 09:49:43 INFO] Running AutoCompaction...
[2020-06-12 09:55:43 INFO] Running AutoCompaction...
[2020-06-12 10:01:43 INFO] Running AutoCompaction...
[2020-06-12 10:07:43 INFO] Running AutoCompaction...
[2020-06-12 10:13:43 INFO] Running AutoCompaction...
[2020-06-12 10:19:43 INFO] Running AutoCompaction...
[2020-06-12 10:25:43 INFO] Running AutoCompaction...
[2020-06-12 10:31:43 INFO] Running AutoCompaction...
[2020-06-12 10:37:43 INFO] Running AutoCompaction...
[2020-06-12 10:43:43 INFO] Running AutoCompaction...
[2020-06-12 10:49:38 INFO] Running AutoCompaction...
[2020-06-12 10:55:38 INFO] Running AutoCompaction...
[2020-06-12 11:01:38 INFO] Running AutoCompaction...
[2020-06-12 11:07:38 INFO] Running AutoCompaction...
[2020-06-12 11:13:38 INFO] Running AutoCompaction...
[2020-06-12 11:19:38 INFO] Running AutoCompaction...
[2020-06-12 11:25:38 INFO] Running AutoCompaction...
[2020-06-12 11:31:38 INFO] Running AutoCompaction...
[2020-06-12 11:37:38 INFO] Running AutoCompaction...
[2020-06-12 11:43:39 INFO] Running AutoCompaction...
[2020-06-12 11:49:39 INFO] Running AutoCompaction...
[2020-06-12 11:55:39 INFO] Running AutoCompaction...
[2020-06-12 12:01:39 INFO] Running AutoCompaction...
[2020-06-12 12:07:39 INFO] Running AutoCompaction...
[2020-06-12 12:13:39 INFO] Running AutoCompaction...
[2020-06-12 12:19:39 INFO] Running AutoCompaction...
[2020-06-12 12:25:39 INFO] Running AutoCompaction...
[2020-06-12 12:31:39 INFO] Running AutoCompaction...
[2020-06-12 12:37:39 INFO] Running AutoCompaction...
[2020-06-12 12:43:39 INFO] Running AutoCompaction...
[2020-06-12 12:49:39 INFO] Running AutoCompaction...
